Undecided,Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church
1,51,1,1,1,4,171,15,0
1,37,1,1,1,3,96,18,0
1,53,1,1,1,6,86,20,0
0,33,1,1,1,2,176,18,1
0,46,1,1,1,6,420,15,1
1,34,1,1,1,6,109,15,0
0,61,1,0,1,3,39,20,1
1,55,1,0,1,6,132,16,0
0,35,1,1,1,5,92,18,1
1,49,1,1,1,3,27,16,0
0,50,1,0,1,4,18,8,0
1,49,1,1,1,2,66,15,1
1,48,1,1,1,6,50,12,1
1,37,1,0,1,7,139,15,1
1,56,1,1,1,5,127,13,1
1,30,1,1,1,7,79,15,1
0,63,1,0,1,3,85,20,0
0,54,0,1,1,5,122,12,0
0,51,1,1,0,1,30,20,1
0,45,1,1,1,5,83,18,1
0,34,1,0,1,3,289,15,0
1,41,1,0,0,4,74,15,0
0,49,1,1,1,3,222,20,1
1,56,1,0,1,3,73,16,0
0,41,1,1,1,5,161,9,1
0,59,1,1,1,4,71,20,1
0,61,1,0,0,2,122,20,0
0,38,0,1,1,3,242,18,1
0,52,1,0,1,3,276,15,0
1,49,1,1,1,4,104,18,0
0,45,1,1,1,3,148,20,1
0,47,1,1,1,3,130,20,1
1,57,1,1,1,2,94,15,0
0,51,0,1,1,7,59,10,0
0,66,1,1,1,4,163,20,1
0,52,1,1,1,5,153,12,0
1,54,1,1,1,5,99,18,0
1,53,1,1,1,3,43,18,0
0,57,1,0,1,3,80,20,1
0,48,1,1,1,5,141,12,0
1,48,1,1,1,3,104,18,0
0,63,1,1,0,3,174,20,1
1,49,1,1,0,3,56,16,1
0,36,0,0,1,4,107,18,0
1,62,1,0,0,2,136,16,0
1,60,1,1,1,3,87,16,0
0,37,1,0,1,2,198.5,9,1
0,67,1,1,1,3,18,8,0
1,54,1,1,0,1,53,20,0
1,61,1,1,0,1,87,20,0
1,38,1,1,1,5,117,18,0
0,45,1,1,1,4,12,18,1
0,62,1,0,0,1,145,20,1
1,56,1,1,1,3,80,20,0
1,65,1,1,1,3,21,20,0
1,51,1,1,1,3,53,16,0
0,35,1,1,1,3,78,18,1
1,54,1,1,1,3,109,20,0
1,38,1,1,0,3,40.5,15,0
1,63,1,1,1,3,90,20,0
1,52,0,1,0,4,53,16,1
1,32,1,0,1,4,75,18,0
1,36,1,1,1,4,173,15,1
0,58,1,0,1,2,79,20,1
0,52,1,1,1,5,172,18,1
0,43,1,0,1,2,90,9,0
0,49,1,1,0,1,114,9,0
0,38,0,1,1,5,354,15,0
0,37,1,0,0,1,15,18,1
0,54,0,0,0,1,48,8,0
0,53,1,0,1,4,227,18,0
0,28,1,1,1,3,72,8,0
0,58,1,1,1,4,77,20,1
0,49,1,1,1,5,490,15,0
1,38,1,1,1,3,119,18,0
0,53,1,1,0,4,106,18,1
0,32,1,0,1,5,46,8,0
1,57,1,1,0,1,65,20,0
0,65,0,0,1,4,137,20,1
1,53,1,1,1,7,134,15,1
0,57,1,1,1,2,139,12,1
1,57,1,1,1,3,4,20,0
0,37,1,0,1,3,62,8,0
0,50,1,1,1,3,101,20,1
1,46,0,0,1,4,50,16,1
1,43,1,1,0,2,37,18,0
0,52,1,1,1,2,142,20,1
0,45,1,1,1,4,323,15,0
1,55,1,1,1,5,26,16,1
1,59,1,1,1,2,113,13,0
1,34,1,0,1,5,66,15,0
0,50,1,1,0,3,41,20,1
1,49,1,1,1,5,73,20,0
1,45,1,1,1,4,119,12,1
0,64,1,1,1,3,103,8,0
0,46,1,1,1,3,113,20,1
1,50,1,1,1,3,58,15,1
0,35,1,1,1,5,174,18,1
0,39,1,1,1,5,99,12,0
0,49,1,1,1,5,66,20,1
1,40,1,1,1,5,108,15,0
0,62,1,1,1,2,110,20,1
0,40,1,1,0,2,24,9,1
1,56,1,1,1,4,21,18,0
0,44,1,0,1,2,417,18,0
1,64,1,1,1,5,73,20,0
1,46,1,1,1,3,204,18,0
1,54,1,1,1,2,218,18,1
